route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
2,Horseshoe Bay,Departure Bay,2017,02,13,15,00,Queen of Oak Bay,100
30,Tsawwassen,Duke Point,2017,02,15,20,15,Queen of Alberni,123
2,Departure Bay,Horseshoe Bay,2017,02,27,17,00,Queen of Oak Bay,98
1,Swartz Bay,Tsawwassen,2017,02,19,13,00,Coastal Renaissance,88
2,Departure Bay,Horseshoe Bay,2017,02,14,12,30,Queen of Oak Bay,110
30,Duke Point,Tsawwassen,2017,03,18,10,15,Coastal Inspiration,119
4,Swartz Bay,Fulford Harbour,2017,04,15,07,00,Skeena Queen,30
3,Langdale,Horseshoe Bay,2017,03,03,11,25,Queen of Coquitlam,41
2,Departure Bay,Horseshoe Bay,2017,04,13,09,30,Queen of Cowichan,100
2,Departure Bay,Horseshoe Bay,2017,02,05,06,30,Queen of Cowichan,98
2,Horseshoe Bay,Departure Bay,2017,02,03,19,00,Queen of Oak Bay,114
1,Swartz Bay,Tsawwassen,2017,03,12,17,00,Coastal Renaissance,92
1,Swartz Bay,Tsawwassen,2017,02,22,21,00,Coastal Renaissance,84
30,Duke Point,Tsawwassen,2017,02,21,17,45,Queen of Alberni,123
3,Langdale,Horseshoe Bay,2017,04,08,10,25,Queen of Coquitlam,47
3,Horseshoe Bay,Langdale,2017,02,16,21,45,Queen of Surrey,39
8,Horseshoe Bay,Bowen Island,2017,03,18,16,30,Queen of Capilano,22
1,Tsawwassen,Swartz Bay,2017,02,28,07,00,Coastal Renaissance,92
2,Departure Bay,Horseshoe Bay,2017,03,03,06,30,Queen of Cowichan,98
30,Duke Point,Tsawwassen,2017,03,25,05,15,Coastal Inspiration,121
4,Swartz Bay,Fulford Harbour,2017,03,07,19,00,Skeena Queen,30
3,Horseshoe Bay,Langdale,2017,02,12,16,50,Queen of Coquitlam,38
1,Tsawwassen,Swartz Bay,2017,02,26,19,00,Coastal Renaissance,92
1,Swartz Bay,Tsawwassen,2017,03,21,13,00,Spirit of British Columbia,98
8,Horseshoe Bay,Bowen Island,2017,02,08,11,00,Queen of Capilano,22
3,Horseshoe Bay,Langdale,2017,03,07,07,20,Queen of Surrey,64
30,Duke Point,Tsawwassen,2017,02,08,20,15,Coastal Inspiration,119
2,Departure Bay,Horseshoe Bay,2017,04,17,16,10,Queen of Cowichan,96
3,Langdale,Horseshoe Bay,2017,02,12,18,50,Queen of Surrey,38
3,Horseshoe Bay,Langdale,2017,02,08,07,20,Queen of Surrey,38
8,Horseshoe Bay,Bowen Island,2017,03,01,07,00,Queen of Capilano,20
1,Swartz Bay,Tsawwassen,2017,02,27,19,00,Coastal Celebration,92
3,Langdale,Horseshoe Bay,2017,03,28,07,00,Island Sky,46
3,Horseshoe Bay,Langdale,2017,04,15,15,50,Queen of Surrey,36
8,Horseshoe Bay,Bowen Island,2017,02,08,10,00,Queen of Capilano,22
1,Tsawwassen,Swartz Bay,2017,03,04,15,00,Coastal Renaissance,90
30,Tsawwassen,Duke Point,2017,03,20,17,45,Coastal Inspiration,123
3,Langdale,Horseshoe Bay,2017,04,19,18,50,Queen of Surrey,42
1,Tsawwassen,Swartz Bay,2017,03,01,21,00,Coastal Celebration,86
2,Horseshoe Bay,Departure Bay,2017,04,12,12,30,Queen of Cowichan,104
3,Horseshoe Bay,Langdale,2017,04,07,11,30,Queen of Coquitlam,36
8,Horseshoe Bay,Bowen Island,2017,03,14,19,30,Queen of Capilano,16
3,Langdale,Horseshoe Bay,2017,02,28,14,45,Queen of Surrey,37
8,Horseshoe Bay,Bowen Island,2017,02,01,19,30,Queen of Capilano,18
2,Horseshoe Bay,Departure Bay,2017,04,20,15,00,Queen of Oak Bay,104
1,Swartz Bay,Tsawwassen,2017,03,24,11,00,Coastal Renaissance,90
30,Duke Point,Tsawwassen,2017,03,12,20,15,Coastal Inspiration,121
1,Swartz Bay,Tsawwassen,2017,02,15,15,00,Coastal Celebration,90
